CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD
10312001,EL LLOLLY,10,DE LOS LAGOS,LAGO RANCO,400404,723701,703236,5561984,225
10313001,RIO LLOLLELHUE EN LA UNION,10,DE LOS LAGOS,LAGO RANCO,401807,730510,662632,5536945,20
10322002,ANTICURA,10,DE LOS LAGOS,PUERTO OCTAY,403922,721103,738047,5495618,350
10323002,FUTACUHUIN,10,DE LOS LAGOS,PUYEHUE,404351,722559,716764,5487950,195
10326003,ESCUELA RURAL CHAMPULLI,14,DE LOS RIOS,RIO BUENO,403143,724152,695001,5511022,158
10327001,RIO CHIRRE ANTES JUNTA RIO PILMAIQUEN,10,DE LOS LAGOS,VALDIVIA,402615,725445,677041,5521561,0
10327006,ESCUELA RURAL CRUCERO,14,DE LOS RIOS,RIO BUENO,402517,724714,687723,5523119,106
10328001,RIO PILMAIQUEN EN SAN PABLO,10,DE LOS LAGOS,LAGO RANCO,402300,725953,669930,5527763,40
10340001,RIO RAHUE EN DESAGUE LAGO RUPANCO,10,DE LOS LAGOS,PUYEHUE,404716,724127,694823,5482222,130
10340002,RUPANCO,10,DE LOS LAGOS,PUERTO OCTAY,404604,724038,696046,5484414,170
10344003,RIO RAHUE ANTES JUNTA RIO NEGRO,10,DE LOS LAGOS,OSORNO,403800,731053,653796,5500355,40
10350001,FRESIA,10,DE LOS LAGOS,FRESIA,410926,732448,633123,5442566,148
10354001,RIO NEGRO,10,DE LOS LAGOS,RIO NEGRO,404658,731250,650717,5483743,50
10355001,PURRANQUE,10,DE LOS LAGOS,PURRANQUE,405441,730759,657226,5469403,145
10355003,RIO FORRAHUE EN RIO NEGRO,10,DE LOS LAGOS,OSORNO,404746,731251,650656,5482341,52
